year,species,commonname,sciname,pounds,ton,orderyear
1971,402,Carp,(Cyprinus carpio),2478510,1239.255,1975.6530169384
1972,402,Carp,(Cyprinus carpio),1326172,663.086,1975.6530169384
1973,402,Carp,(Cyprinus carpio),3211069,1605.5345,1975.6530169384
1974,402,Carp,(Cyprinus carpio),3205551,1602.7755,1975.6530169384
1975,402,Carp,(Cyprinus carpio),2880115,1440.0575,1975.6530169384
1976,402,Carp,(Cyprinus carpio),748775,374.3875,1975.6530169384
1977,402,Carp,(Cyprinus carpio),527846,263.923,1975.6530169384
1978,402,Carp,(Cyprinus carpio),761847,380.9235,1975.6530169384
1979,402,Carp,(Cyprinus carpio),452115,226.0575,1975.6530169384
1980,402,Carp,(Cyprinus carpio),159517,79.7585,1975.6530169384
1981,402,Carp,(Cyprinus carpio),384965,192.4825,1975.6530169384
1982,402,Carp,(Cyprinus carpio),636419,318.2095,1975.6530169384
1983,402,Carp,(Cyprinus carpio),1043804,521.902,1975.6530169384
1984,402,Carp,(Cyprinus carpio),1569324,784.662,1975.6530169384
1985,402,Carp,(Cyprinus carpio),7616,3.808,1975.6530169384
1986,402,Carp,(Cyprinus carpio),977,0.4885,1975.6530169384
1987,402,Carp,(Cyprinus carpio),822,0.411,1975.6530169384
1988,402,Carp,(Cyprinus carpio),1641,0.8205,1975.6530169384
1989,402,Carp,(Cyprinus carpio),2486,1.243,1975.6530169384
1990,402,Carp,(Cyprinus carpio),387,0.1935,1975.6530169384
1991,402,Carp,(Cyprinus carpio),993,0.4965,1975.6530169384
1992,402,Carp,(Cyprinus carpio),1963,0.9815,1975.6530169384
1993,402,Carp,(Cyprinus carpio),320,0.16,1975.6530169384
1994,402,Carp,(Cyprinus carpio),0,0,1975.6530169384
1995,402,Carp,(Cyprinus carpio),605,0.3025,1975.6530169384
1996,402,Carp,(Cyprinus carpio),0,0,1975.6530169384
1997,402,Carp,(Cyprinus carpio),95,0.0475,1975.6530169384
1998,402,Carp,(Cyprinus carpio),90,0.045,1975.6530169384
1999,402,Carp,(Cyprinus carpio),0,0,1975.6530169384
2000,402,Carp,(Cyprinus carpio),0,0,1975.6530169384
2001,402,Carp,(Cyprinus carpio),0,0,1975.6530169384
2002,402,Carp,(Cyprinus carpio),0,0,1975.6530169384
2003,402,Carp,(Cyprinus carpio),436,0.218,1975.6530169384
2004,402,Carp,(Cyprinus carpio),0,0,1975.6530169384
2005,402,Carp,(Cyprinus carpio),0,0,1975.6530169384
2006,402,Carp,(Cyprinus carpio),0,0,1975.6530169384
2007,402,Carp,(Cyprinus carpio),0,0,1975.6530169384
2008,402,Carp,(Cyprinus carpio),444,0.222,1975.6530169384
2009,402,Carp,(Cyprinus carpio),0,0,1975.6530169384
2010,402,Carp,(Cyprinus carpio),0,0,1975.6530169384
1971,106,Alewife,(Alosa pseudoharengus),30418546,15209.273,1978.4658815088
1972,106,Alewife,(Alosa pseudoharengus),31033388,15516.694,1978.4658815088
1973,106,Alewife,(Alosa pseudoharengus),36702946,18351.473,1978.4658815088
1974,106,Alewife,(Alosa pseudoharengus),45094490,22547.245,1978.4658815088
1975,106,Alewife,(Alosa pseudoharengus),35215778,17607.889,1978.4658815088
1976,106,Alewife,(Alosa pseudoharengus),39212137,19606.0685,1978.4658815088
1977,106,Alewife,(Alosa pseudoharengus),48405627,24202.8135,1978.4658815088
1978,106,Alewife,(Alosa pseudoharengus),43879241,21939.6205,1978.4658815088
1979,106,Alewife,(Alosa pseudoharengus),27503329,13751.6645,1978.4658815088
1980,106,Alewife,(Alosa pseudoharengus),13511874,6755.937,1978.4658815088
1981,106,Alewife,(Alosa pseudoharengus),19314098,9657.049,1978.4658815088
1982,106,Alewife,(Alosa pseudoharengus),22158305,11079.1525,1978.4658815088
1983,106,Alewife,(Alosa pseudoharengus),25181806,12590.903,1978.4658815088
1984,106,Alewife,(Alosa pseudoharengus),24345092,12172.546,1978.4658815088
1985,106,Alewife,(Alosa pseudoharengus),19216701,9608.3505,1978.4658815088
1986,106,Alewife,(Alosa pseudoharengus),14475539,7237.7695,1978.4658815088
1987,106,Alewife,(Alosa pseudoharengus),10707310,5353.655,1978.4658815088
1988,106,Alewife,(Alosa pseudoharengus),10034506,5017.253,1978.4658815088
1989,106,Alewife,(Alosa pseudoharengus),14160943,7080.4715,1978.4658815088
1990,106,Alewife,(Alosa pseudoharengus),10766828,5383.414,1978.4658815088
1991,106,Alewife,(Alosa pseudoharengus),1138648,569.324,1978.4658815088
1992,106,Alewife,(Alosa pseudoharengus),101189,50.5945,1978.4658815088
1993,106,Alewife,(Alosa pseudoharengus),7333,3.6665,1978.4658815088
1994,106,Alewife,(Alosa pseudoharengus),8681,4.3405,1978.4658815088
1995,106,Alewife,(Alosa pseudoharengus),8,0.004,1978.4658815088
1996,106,Alewife,(Alosa pseudoharengus),150,0.075,1978.4658815088
1997,106,Alewife,(Alosa pseudoharengus),3657,1.8285,1978.4658815088
1998,106,Alewife,(Alosa pseudoharengus),49983,24.9915,1978.4658815088
1999,106,Alewife,(Alosa pseudoharengus),15002,7.501,1978.4658815088
2000,106,Alewife,(Alosa pseudoharengus),47401,23.7005,1978.4658815088
2001,106,Alewife,(Alosa pseudoharengus),105731,52.8655,1978.4658815088
2002,106,Alewife,(Alosa pseudoharengus),197372,98.686,1978.4658815088
2003,106,Alewife,(Alosa pseudoharengus),96053,48.0265,1978.4658815088
2004,106,Alewife,(Alosa pseudoharengus),62522,31.261,1978.4658815088
2005,106,Alewife,(Alosa pseudoharengus),42922,21.461,1978.4658815088
2006,106,Alewife,(Alosa pseudoharengus),28147,14.0735,1978.4658815088
2007,106,Alewife,(Alosa pseudoharengus),19755,9.8775,1978.4658815088
2008,106,Alewife,(Alosa pseudoharengus),30825,15.4125,1978.4658815088
2009,106,Alewife,(Alosa pseudoharengus),5365,2.6825,1978.4658815088
2010,106,Alewife,(Alosa pseudoharengus),16000,8,1978.4658815088
1971,-999,Other,,411234,205.617,1984.37502995209
1972,-999,Other,,407311,203.6555,1984.37502995209
1973,-999,Other,,528670,264.335,1984.37502995209
1974,-999,Other,,595869,297.9345,1984.37502995209
1975,-999,Other,,628018,314.009,1984.37502995209
1976,-999,Other,,442674,221.337,1984.37502995209
1977,-999,Other,,487953,243.9765,1984.37502995209
1978,-999,Other,,371850,185.925,1984.37502995209
1979,-999,Other,,228520,114.26,1984.37502995209
1980,-999,Other,,331946,165.973,1984.37502995209
