Order,Title,Author,Type
1,A Little Life,Hanya Yanagihara,
2,A House in the Sky,Amanda Lindhout,nonfiction
3,The Master and Margarita,Mikhail Bulgakov,
4,The Shadow of the Wind,Carlos Ruiz Zafón,
5,The Blind Assassin,Margaret Atwood,fiction
6,A Man Called Ove,Frederic Backman,
7,My Grandmother Asked Me to Tell You She's Sorry,Frederic Backman,
8,Angle of repose,Wallace Stegner,fiction
9,Crossing to Safety,Wallace Stegner,fiction
10,A Story Like the Wind,Laurens van der Post,
11,Oscar and Lucinda,Peter Carey,fiction
12,An unexpected Light: Travels in Afghanistan,Jason Elliot,nonfiction
13,Kabul Beauty School: An American Woman Goes Behind the Veil,Deborah Rodriguez & Kristin Ohlson,nonfiction
14,The Sheltering Sky,Paul Bowles,
15,Worst-Kept Secret,Sandra Hume,
16,East of Eden,John Steinbeck,fiction
17,The God of Small Things,Arundhati Roy,fiction
18,The Ministry of Utmost Happiness,Arundhati Roy,fiction
19,Pattern Recognition,William Gibson,fiction
20,Go Dog Go,Dr. Suess,fiction
21,Redeployment,Phil Klay,
22,Let's Take The Long Way Home,Gail Caldwell,nonfiction
23,Stag's Leap,Sharon Olds,poetry
24,Sea of Tranquility,Katja Millay,
25,Midnight's Children,Salman Rushdie,fiction
26,Strangers in Their Own Land,Arlie Hochschild,
27,The Devil in the White City,Erik Larson,nonfiction
28,The Immortal Life of Henrietta Lacks,Rebecca Skloot,nonfiction
29,The Fact of a Body,Alexandria Marzano-Lesnevich,
30,The Invention of Nature,Andrea Wulf,non-fiction
31,Lolita,Vladimir Nabokov,fiction
32,The Great Gatsby,F. Scott Fitzgerald,fiction
33,When We Were the Kennedys,Monica Wood,
34,I Know This Much Is True,Wally Lamb,fiction
35,Time Travel,James Gleick,non-fiction
36,The Elegance of the Hedgehog,Muriel Barbery,fiction
37,The Goldfinch,Muriel Barbery,fiction
38,A Tale for the Time Being,Ruth Ozeki,fiction
39,Homegoing,Yaa Gyasi,fiction
40,The Excellent Lombards,Jane Hamilton,
41,The Poisonwood Bible,Barbara Kingsolver,fiction
42,The Evolution of Bruno Littlemore,Benjamin Hale,
43,Animal Dreams,Barbara Kingsolver,fiction
44,The Last Reunion of the All Girls Filling Station,Fannie Flagg,fiction
45,The Door,Magda Szabo,
46,Three Junes,Julia Glass,
47,The Hills at Home,Nancy Clark,
48,The Spectator Bird,Wallace Stegner,fiction
49,All the Light We Cannot See,Anthony Doerr,fiction
50,Orhan's Inheritance,Aline Ohanesian,fiction
51,The Orphan Master's Son,Adam Johnson,fiction
